lake,date,chl_mean,ndvi_mean,ndwi_g_mean,ndwi_s_mean,r_pix_ndvi_pearson,r_pix_ndvi_spearman,r_pix_ndwi_g_pearson,r_pix_ndwi_g_spearman,r_pix_ndwi_s_pearson,r_pix_ndwi_s_spearman,l2a_path,chl_path
Amatitlán,2025-05-03,7.805727005004883,0.10706357657909393,0.06302925944328308,0.33125942945480347,0.8991160988807678,0.8144408851908665,-0.8752666115760803,-0.7357206143009836,0.8683308959007263,0.8411863909574844,descargas_amatitlan\openEO_2025-05-03Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-05-03Z_chl.tif
Amatitlán,2025-05-08,6.631833076477051,0.1133999302983284,0.06773173809051514,0.4931923449039459,0.7408893704414368,0.5296424293664774,-0.43770739436149597,-0.05581053724104523,0.7634356021881104,0.9026049061571241,descargas_amatitlan\openEO_2025-05-08Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-05-08Z_chl.tif
Amatitlán,2025-05-13,9.75733757019043,0.1934264749288559,0.01715863309800625,0.4560423493385315,0.7315031886100769,0.780386041248814,-0.4789920747280121,-0.4250627036677141,0.640333890914917,0.7955458705476498,descargas_amatitlan\openEO_2025-05-13Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-05-13Z_chl.tif
Amatitlán,2025-06-14,30.378589630126953,0.38377904891967773,-0.1066901907324791,0.6746271252632141,0.7943657636642456,0.7657154907407938,-0.7086656093597412,-0.681927663651686,0.7613412141799927,0.7535516852037463,descargas_amatitlan\openEO_2025-06-14Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-06-14Z_chl.tif
Amatitlán,2025-07-17,4.379523754119873,0.013502596877515316,0.14732913672924042,0.17181813716888428,-0.5963680148124695,-0.43910592259035114,0.6851442456245422,0.5993134351608901,-0.7318885922431946,-0.7306368694063864,descargas_amatitlan\openEO_2025-07-17Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-07-17Z_chl.tif
Amatitlán,2025-07-22,4.361399173736572,0.06442447751760483,0.10857713222503662,0.2135416865348816,-0.3120037913322449,-0.48000848910755084,0.5100211501121521,0.6322522663716211,-0.47607699036598206,-0.6543368515152088,descargas_amatitlan\openEO_2025-07-22Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-07-22Z_chl.tif
Amatitlán,2025-07-24,4.412871360778809,0.05164097622036934,0.13969959318637848,0.19677430391311646,-0.4506610333919525,-0.4757403808858402,0.5987968444824219,0.6375115582549402,-0.5426158905029297,-0.5197746274580841,descargas_amatitlan\openEO_2025-07-24Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-07-24Z_chl.tif
Amatitlán,2025-07-27,4.630992412567139,-0.02069423347711563,0.20358239114284515,0.13593950867652893,-0.29300636053085327,-0.34968747718398185,0.43682873249053955,0.5178271760261905,-0.3904278874397278,-0.5396349636560156,descargas_amatitlan\openEO_2025-07-27Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-07-27Z_chl.tif
Amatitlán,2025-08-01,4.300693035125732,-0.044936005026102066,0.11916296929121017,0.21813255548477173,0.6735939383506775,0.6123760617303672,-0.415408194065094,-0.3756902341002965,0.29452624917030334,0.3188441002232691,descargas_amatitlan\openEO_2025-08-01Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-08-01Z_chl.tif
Amatitlán,2025-08-13,19.696359634399414,0.38393425941467285,-0.10770732164382935,0.6057384610176086,0.7466002702713013,0.7678080021297023,-0.7002845406532288,-0.7267074887483275,0.577948808670044,0.5609917410266484,descargas_amatitlan\openEO_2025-08-13Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-08-13Z_chl.tif
Atitlán,2025-02-07,0.8216935992240906,0.18110767006874084,-0.009071936830878258,0.3836842179298401,0.19944529235363007,0.19397837529796425,-0.26385119557380676,0.0038738823797614423,0.23353886604309082,-0.14058492474808743,descargas_atitlan\openEO_2025-02-07Z.tif,ciano_outputs\descargas_atitlan_fechas\openEO_2025-02-07Z_chl.tif
Atitlán,2025-02-12,2.2313120365142822,0.16021689772605896,0.009031569585204124,0.3457071781158447,0.12089391052722931,0.0964289100254712,-0.13908728957176208,-0.13889062494243434,-0.14453086256980896,-0.18071265961323002,descargas_atitlan_fechas\openEO_2025-02-12Z.tif,ciano_outputs\descargas_atitlan_fechas\openEO_2025-02-12Z_chl.tif
Atitlán,2025-02-22,1.117788553237915,0.11053252965211868,0.056098856031894684,0.2507827579975128,0.07398775219917297,0.15272808539627422,0.24040989577770233,0.16694771860082874,-0.22725144028663635,-0.1720330462650228,descargas_atitlan_fechas\openEO_2025-02-22Z.tif,ciano_outputs\descargas_atitlan_fechas\openEO_2025-02-22Z_chl.tif
Atitlán,2025-02-27,2.7706379890441895,0.1138896718621254,-0.011909355409443378,0.33995431661605835,-0.05052114278078079,-0.036553935387899215,-0.13217145204544067,-0.14753943504326322,-0.12012556940317154,-0.1652630988601898,descargas_atitlan\openEO_2025-02-27Z.tif,ciano_outputs\descargas_atitlan_fechas\openEO_2025-02-27Z_chl.tif
Atitlán,2025-03-04,0.48486655950546265,0.1530839204788208,-0.017272520810365677,0.36358338594436646,-0.22951284050941467,-0.2055286719393964,0.054761823266744614,0.15228431168347817,-0.27481913566589355,-0.3146351237385006,descargas_atitlan\openEO_2025-03-04Z.tif,ciano_outputs\descargas_atitlan_fechas\openEO_2025-03-04Z_chl.tif
Atitlán,2025-03-09,4.483612537384033,0.16642089188098907,-0.0262931939214468,0.41309934854507446,0.6436788439750671,0.45937709963830414,-0.6650343537330627,-0.3765508697159553,0.7694963812828064,0.3525920540632646,descargas_atitlan\openEO_2025-03-09Z.tif,ciano_outputs\descargas_atitlan_fechas\openEO_2025-03-09Z_chl.tif
Atitlán,2025-03-14,4.6413397789001465,0.13487640023231506,-0.03267505764961243,0.40469861030578613,0.914223313331604,0.7844213727398083,-0.9009475111961365,-0.5073551080564815,0.9193058013916016,0.5235472923561564,descargas_atitlan\openEO_2025-03-14Z.tif,ciano_outputs\descargas_atitlan_fechas\openEO_2025-03-14Z_chl.tif
Atitlán,2025-03-24,0.21938388049602509,0.12682180106639862,-0.013974246568977833,0.3507985770702362,0.022611910477280617,0.03723633576578656,0.0890369862318039,0.08504423928624127,-0.19317923486232758,-0.22608171670613178,descargas_atitlan\openEO_2025-03-24Z.tif,ciano_outputs\descargas_atitlan_fechas\openEO_2025-03-24Z_chl.tif
Atitlán,2025-03-26,0.16584976017475128,0.033827535808086395,0.06594563275575638,0.28924721479415894,0.14075365662574768,0.23145502494313785,-0.015218169428408146,-0.1543033499620919,-0.1471744030714035,-0.3086066999241838,descargas_atitlan\openEO_2025-03-26Z.tif,ciano_outputs\descargas_atitlan_fechas\openEO_2025-03-26Z_chl.tif
Atitlán,2025-03-29,3.660172939300537,-0.0408623181283474,0.17589832842350006,0.09346431493759155,0.1404264271259308,0.5218214812618558,-0.0752677172422409,-0.40848320450294956,-0.03955180197954178,0.31631071745043715,descargas_atitlan_fechas\openEO_2025-03-29Z.tif,ciano_outputs\descargas_atitlan_fechas\openEO_2025-03-29Z_chl.tif
Atitlán,2025-04-03,0.1439172625541687,0.11465145647525787,0.011287706904113293,0.300273060798645,-0.09729411453008652,-0.07189281040783084,0.31933367252349854,0.25085705664229174,-0.3396453261375427,-0.30416070006136514,descargas_atitlan\openEO_2025-04-03Z.tif,ciano_outputs\descargas_atitlan_fechas\openEO_2025-04-03Z_chl.tif
Atitlán,2025-04-13,2.4353575706481934,0.06960593163967133,-0.00759417749941349,0.36664798855781555,0.814693808555603,0.28965540864012135,-0.6604270339012146,-0.32541533563272895,0.6804200410842896,0.19310360576008093,descargas_atitlan\openEO_2025-04-13Z.tif,ciano_outputs\descargas_atitlan_fechas\openEO_2025-04-13Z_chl.tif
Atitlán,2025-04-15,3.184901237487793,0.1639915108680725,-0.10660277307033539,0.4857199490070343,,,,,,,descargas_atitlan\openEO_2025-04-15Z.tif,ciano_outputs\descargas_atitlan_fechas\openEO_2025-04-15Z_chl.tif
